word	file	lines
BioDIGS	index.md	382
BioDIGS	index.Rmd	84
Cliffe	About.Rmd	23
Cliffe	About.md	23
creativecommons	LICENSE.md	378,395
DISCOVERABLE	LICENSE.md	286
enforceability	LICENSE.md	359
faq	code_of_conduct.md	123
FirstName	About.Rmd	23
FirstName	About.md	23
gdscn	README.md	19
Generis	LICENSE.md	85,123,262,264,271
Humphries	About.Rmd	23
Humphries	About.md	23
ies	LICENSE.md	112
immunities	LICENSE.md	370
LastName	About.Rmd	23
LastName	About.md	23
Licensor	LICENSE.md	59,71,103,107,112,333,344,366,370,378
LICENSOR	LICENSE.md	286,297
MERCHANTABILITY	LICENSE.md	286
Muschelli	About.Rmd	18,23
Muschelli	About.md	18,23
Savonen	About.Rmd	15,16,17,18,23
Savonen	About.md	15,16,17,18,23
sexualized	code_of_conduct.md	30
socio	code_of_conduct.md	6
synched	LICENSE.md	71
WDL	index.md	320
WDL	index.Rmd	64
WIPO	LICENSE.md	93
